Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Quantity,Visibility_Revenue,Revenue_Item
NCB42,11.8,low fat,0.008596051,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,14,13.9418,0.09428182292124256
FDP49,9.0,regular,0.06919637599999999,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,13,49.7106,0.03293645766718915
DRI11,8.26,low fat,0.034237682,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.6679999999997,20,78.8723,0.07229869306530158
FDU02,13.35,low fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,12,281.6916,0.12139662583254324
FDN22,18.85,regular,0.138190277,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,15,521.6802,0.17708895815203826
FDW12,8.315,regular,0.035399923,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432,28,143.8668,0.12754659608976907
NCB30,14.6,low fat,0.025698133999999997,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,8,40.7898,0.07010890406608118
FDC37,15.5,low fat,0.057556998,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876,2,12.3395,0.12414984346324084
FDR28,13.85,regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,25,105.6065,0.19443070527534353
NCD06,13.0,low fat,0.099887103,Household,45.906000000000006,OUT017,2007,Small,Tier 2,Supermarket Type1,838.908,18,83.7961,0.0388842803815844
FDV10,7.645,regular,0.06669343700000001,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28,25,71.0472,0.04705295574904777
DRJ59,11.65,low fat,0.019356131999999998,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,8,5.9797,0.014491935905210892
FDE51,5.925,regular,0.161466534,Dairy,45.5086,OUT010,1998,Small,Tier 3,Grocery Store,178.4344,4,28.8112,0.09810273699315113
FDC14,14.5,regular,0.072221801,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362,3,9.0881,0.07287056029364138
FDV38,19.25,low fat,0.17034855100000001,Dairy,55.7956,OUT010,1998,Small,Tier 3,Grocery Store,163.7868,3,27.9008,0.090049527239982
NCS17,18.6,low fat,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644,28,221.6151,0.1593811768430529
FDO23,17.85,low fat,0.14665358833333333,Breads,93.1436,OUT045,2002,Small,Tier 2,Supermarket Type1,2174.5028,23,318.8986,0.10684323388886799
DRH01,17.5,low fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,12,204.1579,0.09942154594651037
NCX29,10.0,low fat,0.08929113699999999,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652,26,338.5085,0.17380925853287774
FDV20,20.2,regular,0.059511812000000004,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916,22,166.4957,0.08780321047988363
DRZ11,8.85,regular,0.113123893,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044,13,182.1187,0.09358515920507574
FDX10,6.385,regular,0.12311145300000001,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614,10,47.7871,0.012182120825743015
FDB34,15.25,low fat,0.026480953999999998,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495,25,57.7416,0.0684330114996713
FDU02,13.35,low fat,0.102511504,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,15,352.1811,0.16379794926053431
FDK43,9.8,low fat,0.02681843,Meat,126.00200000000001,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,17,57.6739,0.10088136416773963
FDA46,13.6,low fat,0.117818348,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768,13,297.7714,0.11587283902191847
FDC02,21.35,low fat,0.06910283099999999,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228,26,467.7241,0.3934601854751034
FDL50,12.15,regular,0.042277867000000004,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,3,15.7914,0.017521500092291618
FDM39,6.42,low fat,0.08949892599999999,Dairy,178.1002,OUT010,1998,Small,Tier 3,Grocery Store,358.2004,2,32.0586,0.19693758396386304
NCP05,19.6,low fat,0.025330974000000003,Health and Hygiene,153.3024,OUT045,2002,Small,Tier 2,Supermarket Type1,2428.8384,16,61.5248,0.11933990117164434
FDV49,10.0,low fat,0.025879577,Canned,265.2226,OUT045,2002,Small,Tier 2,Supermarket Type1,5815.0972,22,150.4923,0.285722230491541
FDL12,15.85,regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646,43,313.4045,0.12284846194540074
FDS02,10.195,regular,0.25539489600000004,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176,4,199.2891,0.4518745855245909
NCL17,7.39,low fat,0.067779712,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864,22,212.4614,0.14944975680592937
FDM40,10.195,low fat,0.159803853,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924,6,135.9759,0.03991528898030069
FDR13,9.895,regular,0.028696932,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444,7,23.2716,0.03804133175117859
FDA43,10.895,low fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,Small,Tier 2,Supermarket Type1,3121.2704,16,203.0124,0.1446742114514823
NCP18,12.15,low fat,0.028760012999999997,Household,151.4708,OUT017,2007,Small,Tier 2,Supermarket Type1,4815.0656,32,138.4813,0.22318342517430032
FDK21,7.905,low fat,0.010053105,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52,25,62.9176,0.3638132739982266
NCX54,9.195,low fat,0.048157338,Household,106.1622,OUT045,2002,Small,Tier 2,Supermarket Type1,2117.244,20,101.9608,0.1040298480608084
DRK35,8.365,low fat,0.071958197,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626,21,57.348,0.036538405771663965
FDY21,15.1,low fat,0.17348130399999998,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275,25,851.8409,0.2341104410458218
FDI26,5.94,low fat,0.061082177,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172,5,54.4958,0.5166484168967166
FDV27,7.97,regular,0.040071131,Meat,87.3514,OUT045,2002,Small,Tier 2,Supermarket Type1,1062.6168,12,42.5803,0.0522112067625944
FDF09,6.215,low fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024,13,5.8601,0.015211979350155943
FDY40,15.5,regular,0.15028599,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,3,22.2134,0.0855939914560232
FDY45,17.5,low fat,0.026015518999999997,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356,10,66.1667,0.07982110043625784
FDC46,17.7,low fat,0.195068226,Snack Foods,185.4266,OUT010,1998,Small,Tier 3,Grocery Store,184.4266,1,35.9758,0.10139723189217484
FDH19,19.35,low fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664,28,160.967,0.2149143753837757
FDZ03,13.65,regular,0.078946455,Dairy,186.024,OUT045,2002,Small,Tier 2,Supermarket Type1,1118.5439999999999,6,88.3051,0.054959165013257254
DRH37,17.6,low fat,0.041700756,Soft Drinks,164.8526,OUT045,2002,Small,Tier 2,Supermarket Type1,2302.3364,14,96.0092,0.11312428131895454
NCI17,8.645,low fat,0.14342264300000002,Health and Hygiene,95.84100000000001,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361,21,290.7695,0.09665983633688507
FDJ58,15.6,regular,0.10529607199999999,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,20,361.7476,0.16379794926053431
FDL12,15.85,regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,10,72.8241,0.02810935843683147
FDH35,18.25,low fat,0.06037674133333334,Starchy Foods,164.7526,OUT045,2002,Small,Tier 2,Supermarket Type1,4604.6728,28,278.0151,0.22624856263790907
FDG02,7.855,low fat,0.011324862,Canned,189.6188,OUT017,2007,Small,Tier 2,Supermarket Type1,2285.0256,12,25.8776,0.10591337322983943
NCZ18,7.825,low fat,0.186357148,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356,22,1040.01,0.2558604153534565
FDC29,8.39,regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.3520000000003,20,55.4395,0.10919863284035623
FDQ10,12.85,low fat,0.033230816,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954,7,40.1128,0.055341795876379926
FDN48,13.35,low fat,0.113720344,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628,7,73.1407,0.3724495303897225
FDL04,19.0,low fat,0.11255650699999999,Frozen Foods,104.9622,OUT017,2007,Small,Tier 2,Supermarket Type1,1587.933,15,178.7322,0.07360238786514191
FDV25,5.905,low fat,0.045668736,Canned,222.5456,OUT045,2002,Small,Tier 2,Supermarket Type1,5305.0944,24,242.277,0.26066346834859155
FDD58,7.76,low fat,0.05935224099999999,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79,17,100.7676,0.08094666097177568
FDN04,11.8,regular,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752,8,20.1089,0.06805868279352434
FDV45,16.75,low fat,0.045230944,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89,25,212.3091,0.27285995549867
NCL18,18.85,low fat,0.293417759,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408,3,171.1332,0.3377492635832267
FDR12,12.6,regular,0.031382044,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752,18,97.0325,0.09703905508533542
FDG20,15.5,regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,Small,Tier 2,Supermarket Type1,2479.4392,14,313.3983,0.11492465090557168
FDZ55,6.055,low fat,0.025403897999999998,Fruits and Vegetables,160.99200000000002,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.4640000000004,17,69.0088,0.11998503716007182
FDQ49,20.2,regular,0.039057677,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723,21,128.3327,0.10311966771019172
FDN33,6.305,regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052,7,81.4787,0.031553325884684326
FDN27,20.85,low fat,0.039624006,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504,13,60.3612,0.06984116324608786
FDW20,20.75,low fat,0.040421193,Fruits and Vegetables,122.17299999999999,OUT010,1998,Small,Tier 3,Grocery Store,369.519,3,14.9364,0.2031605187731301
DRG27,8.895,low fat,0.10527411099999999,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,17,72.6849,0.03165440834186762
DRI25,19.6,low fat,0.033970195,Soft Drinks,55.1614,OUT045,2002,Small,Tier 2,Supermarket Type1,1381.535,25,46.931,0.06788111154911239
FDA44,19.7,low fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523,11,33.1261,0.02749657101584979
NCR17,9.8,low fat,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412,11,31.0668,0.056287098314798396
FDU04,7.93,low fat,0.009714595,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656,4,4.7346,0.2822288366928332
FDF41,12.15,low fat,0.131383762,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73,5,161.8293,0.05647122028202033
FDB56,8.75,regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,20,280.1805,0.1658616690153934
NCP18,12.15,low fat,0.028459761,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532,29,124.1885,0.13694960530346434
FDB56,8.75,regular,0.07462720099999999,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892,7,98.0817,0.06266223872873929
FDT28,13.3,low fat,0.063695084,Frozen Foods,151.0708,OUT045,2002,Small,Tier 2,Supermarket Type1,1805.6496,12,115.011,0.08871979494997242
FDD10,20.6,regular,0.045797829000000005,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504,16,130.7505,0.08960023001850095
FDW57,8.31,regular,0.11585722300000001,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616,22,451.41,0.17863220599480162
DRB48,16.75,regular,0.024832806000000002,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974,17,16.5833,0.03132631834682441
FDP09,19.75,low fat,0.034027909,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853,15,108.4079,0.18519643788101217
FDH14,17.1,regular,0.046769599999999995,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408,16,105.1259,0.10544132675860339
FDA47,10.5,regular,0.11657670199999999,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.3310000000001,11,209.1772,0.08417191220806758
FDG12,6.635,regular,0.006348916,Baking Goods,121.3098,OUT045,2002,Small,Tier 2,Supermarket Type1,2530.7058,21,16.0672,0.12434511084249456
DRE60,9.395,low fat,0.278974075,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,679.1160000000001,3,189.4558,0.39326969047362015
DRK49,14.15,low fat,0.035913805,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.2760000000001,20,29.1719,0.03810379699214933
FDD03,13.3,low fat,0.079806266,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09,3,55.7918,0.033330978047201754
FDS52,8.89,low fat,0.005505481,Frozen Foods,102.4016,OUT017,2007,Small,Tier 2,Supermarket Type1,2732.4432,27,15.0434,0.12665165610001777
FDW39,6.69,regular,0.064625342,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437,1,11.4023,0.1021730078191268
FDX34,6.195,low fat,0.071636937,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.3332,34,293.5204,0.12859137489129077
FDV11,9.1,regular,0.081723559,Breads,173.2054,OUT045,2002,Small,Tier 2,Supermarket Type1,3151.8972,18,257.5843,0.15486707569807134
FDD17,7.5,low fat,0.032677677999999995,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265,25,194.1794,0.2724354816308278
FDZ16,16.85,regular,0.160760054,Frozen Foods,192.4478,OUT017,2007,Small,Tier 2,Supermarket Type1,4843.695,25,778.6727,0.22451042839367186
FDZ46,7.485,low fat,0.06911065,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244,23,175.681,0.11228011565616523
DRA12,11.6,low fat,0.041177505,Soft Drinks,140.3154,OUT017,2007,Small,Tier 2,Supermarket Type1,2552.6772,18,105.1129,0.11831931030396398
FDY58,11.65,low fat,0.040081193,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847,5,45.7666,0.06637657073478283
NCF19,13.0,low fat,0.035307322,Household,47.5034,OUT017,2007,Small,Tier 2,Supermarket Type1,680.4476,14,24.0248,0.0315394718650629
DRJ13,12.65,low fat,0.063017847,Soft Drinks,159.0578,OUT045,2002,Small,Tier 2,Supermarket Type1,2085.9514,13,131.4522,0.10249229999198511
FDB14,20.25,regular,0.171938781,Canned,92.512,OUT010,1998,Small,Tier 3,Grocery Store,186.424,2,32.0535,0.1024953968585161
FDJ38,8.6,regular,0.040197932,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048,16,122.0429,0.13410092388478614
FDW11,12.6,low fat,0.049058014000000004,Breads,62.7194,OUT017,2007,Small,Tier 2,Supermarket Type1,866.8716,14,42.527,0.04018042306097055
FDL40,17.7,low fat,0.01161096,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.8689999999999,9,10.0884,0.038377567032817084
DRI49,14.15,low fat,0.183507295,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864,14,208.682,0.05421839095678151
FDV38,19.25,low fat,0.102349519,Dairy,52.7956,OUT017,2007,Small,Tier 2,Supermarket Type1,928.1252,18,94.9932,0.04301959273962592
DRG23,8.88,low fat,0.08670898699999999,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341,5,66.1018,0.03576135045574671
NCP30,20.5,low fat,0.032835147,Household,40.2822,OUT045,2002,Small,Tier 2,Supermarket Type1,707.0796,18,23.2171,0.0347420435976662
FDY25,12.0,low fat,0.033809913,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.2944,44,269.4073,0.25007825393223393
NCH54,13.5,low fat,0.07266912,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,9,104.5075,0.06856658341138645
NCR53,12.15,low fat,0.144338493,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.2524,31,1006.9418,0.21894384564688732
FDS52,8.89,low fat,0.009163216,Frozen Foods,101.7016,OUT010,1998,Small,Tier 3,Grocery Store,101.2016,1,0.9273,0.055640358294623014
FDG02,7.855,low fat,0.011307038,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.0939999999999,5,10.7654,0.0553460618954749
NCO26,7.235,low fat,0.076855628,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364,17,151.3623,0.09389812672725979
FDH35,18.25,low fat,0.059956876,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832,32,315.5221,0.16515863294455022
FDB51,6.92,low fat,0.038532062,Dairy,60.5852,OUT045,2002,Small,Tier 2,Supermarket Type1,1314.2892,22,50.6423,0.06457701889057726
FDX44,9.3,low fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,2007,Small,Tier 2,Supermarket Type1,535.3032,6,23.1302,0.02481187414824909
NCN07,18.5,low fat,0.056816465,Others,132.1284,OUT010,1998,Small,Tier 3,Grocery Store,263.6568,2,14.98,0.14495777555704417
NCC31,8.02,low fat,0.019866705,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748,9,27.8566,0.061933453004684134
NCX54,9.195,low fat,0.048331717,Household,105.1622,OUT017,2007,Small,Tier 2,Supermarket Type1,1693.7952,16,81.864,0.07850921372281804
NCO55,12.8,low fat,0.091221855,Others,105.5938,OUT045,2002,Small,Tier 2,Supermarket Type1,2143.876,20,195.5683,0.1053383996087431
NCC30,16.6,low fat,0.027622076000000002,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.5159999999996,15,73.9309,0.12271043542363336
FDI16,14.0,regular,0.1357192065,Frozen Foods,53.06399999999999,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488,17,122.8921,0.03999501238669061
FDP16,18.6,low fat,0.039355947,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406,30,290.0693,0.33791157217403517
FDB11,16.0,low fat,0.060836524,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312,28,383.3389,0.27831823325561755
NCB06,17.6,low fat,0.082316506,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92,10,131.5352,0.07057943362357165
FDA45,21.25,low fat,0.155350299,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311,3,82.2286,0.023379437387808115
NCO26,7.235,low fat,0.076841095,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364,17,151.3336,0.08698915194105207
DRJ25,14.6,low fat,0.151419185,Soft Drinks,50.3692,OUT017,2007,Small,Tier 2,Supermarket Type1,1034.6532,21,156.6663,0.04795727913728743
FDR28,13.85,regular,0.026001976,Frozen Foods,161.52100000000002,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.3310000000001,11,46.6562,0.10430603972608732
FDI04,13.65,regular,0.073209447,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964,14,202.6728,0.16092931843453473
DRK12,9.5,low fat,0.041683481,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83,29,37.4664,0.028209027641085883
FDX20,7.365,low fat,0.042560252,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208,14,134.8823,0.15110043381398125
NCI18,18.35,low fat,0.014081156000000001,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936,16,50.5513,0.2086894865317487
FDN13,18.6,low fat,0.152918384,Breakfast,99.8358,OUT017,2007,Small,Tier 2,Supermarket Type1,1910.1802,19,292.1017,0.08853888921806798
DRD24,13.85,low fat,0.030969273999999998,Soft Drinks,140.9154,OUT017,2007,Small,Tier 2,Supermarket Type1,1701.7848,12,52.703,0.07887954020264264
FDQ28,14.0,regular,0.06037677599999999,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496,16,149.2182,0.11593548724168713
FDM22,14.0,regular,0.04192285,Snack Foods,54.763999999999996,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6,24,55.8245,0.0624652409707366
FDR07,21.35,low fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.9786,19,139.956,0.05677328007468914
FDV25,5.905,low fat,0.045838211,Canned,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684,15,151.985,0.19274362813948603
DRF49,7.27,low fat,0.071077939,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914,23,186.1241,0.12484832062823284
FDW51,6.155,regular,0.09465987099999999,Meat,214.55599999999998,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728,13,262.1821,0.13205416064415168
DRL01,19.5,regular,0.077608838,Soft Drinks,233.4958,OUT017,2007,Small,Tier 2,Supermarket Type1,5375.0034,23,417.1478,0.24913713930200862
FDP25,15.2,low fat,0.021327477,Canned,216.8824,OUT017,2007,Small,Tier 2,Supermarket Type1,2838.9712,13,60.5481,0.13158934249767928
FDL50,12.15,regular,0.042485444000000004,Canned,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0644,14,74.0549,0.10132586716248482
NCB30,14.6,low fat,0.025578526,Household,198.8084,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.4352,28,142.0998,0.1743526863979412
FDW11,12.6,low fat,0.048980800000000005,Breads,61.9194,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194,10,30.3286,0.035994292001952206
NCM43,14.5,low fat,0.019471688,Others,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573,13,41.2911,0.09366479003794821
FDK44,16.6,low fat,0.122918852,Fruits and Vegetables,173.0738,OUT017,2007,Small,Tier 2,Supermarket Type1,3823.0236,22,469.9217,0.17720122059607749
FDM15,11.8,regular,0.057373797000000004,Meat,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294,9,78.0415,0.06380824365160744
FDS31,13.1,regular,0.044155597000000005,Fruits and Vegetables,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1,3969.4996,22,175.2756,0.1862088833337658
FDI32,17.7,low fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,1998,Small,Tier 3,Grocery Store,345.5502,3,100.8541,0.1899825391770352
FDB35,12.3,regular,0.064750025,Starchy Foods,92.6804,OUT045,2002,Small,Tier 2,Supermarket Type1,1010.6844,11,65.4418,0.049659531244121737
NCU05,11.8,low fat,0.098312421,Health and Hygiene,81.4618,OUT010,1998,Small,Tier 3,Grocery Store,161.1236,2,15.8405,0.08858530728486033
DRY23,9.395,regular,0.191013663,Soft Drinks,42.1112,OUT019,1985,Small,Tier 1,Grocery Store,42.6112,1,8.1393,0.0246757452846193
FDO24,11.1,low fat,0.176573035,Baking Goods,157.4604,OUT045,2002,Small,Tier 2,Supermarket Type1,3010.7476,19,531.6168,0.14793175249401747
